,Time Horizon,Method,PICP,PINAW,PINAFD,CP,CWFDC
0,t+1,RUE Gaussian Copula,0.920954003407155,0.024209135764553913,0.008042018438384329,0.0009027619112572476,0.9350130654601858
1,t+1,RUE Conditional Gaussian,0.8821124361158432,0.019743773201784033,0.007255361826451541,0.004745496457893775,4.772495592922011
2,t+1,RUE Weighted,0.8766609880749574,0.021073651975756443,0.007780538008841745,0.005526288693991619,5.555142883976217
3,t+1,RUE KNN,0.9908006814310051,0.06801479104023171,0.01489045415722432,0.0015840942423723562,1.6669994875698124
4,t+1,RUE Conformal,0.9216354344122658,0.023342763683691804,0.007092038358287855,0.0008622777121563406,0.8927125141983202
5,t+1,Infer-Noise Conformal,0.8712095400340716,0.02203353809084232,0.008551662074268275,0.006366517501574419,6.397102701739529
6,t+1,MC Dropout Conformal,0.9642248722316865,0.04902474032575277,0.00813017378325078,0.00017489724554443418,0.23205215965343773
7,t+1,GPR Conformal,0.9018739352640545,0.02401150756275413,0.003569795902244734,0.0024133702364403076,2.4409515399053068
8,t+1,BNN Conformal,0.9601362862010221,0.04223182489260856,0.007139601632436331,8.347172554698751e-05,0.1328431520720324
9,t+1,DER Conformal,0.3546848381601363,0.008431211594487018,0.009259646634177247,0.3555917722401028,355.60946309833145
10,t+2,RUE Gaussian Copula,0.9325613079019074,0.03390615426104953,0.010166207635542969,0.00033998536628826134,0.38405772818485384
11,t+2,RUE Conditional Gaussian,0.8797683923705722,0.025513487489274816,0.008967686697159747,0.005073941925472744,5.108423099659178
12,t+2,RUE Weighted,0.8623978201634878,0.025885142558645876,0.00959379661200803,0.007850346271781649,7.885825210952302
13,t+2,RUE KNN,0.9860354223433242,0.08295202910716715,0.011683374317639378,0.0012274808187751035,1.3221162221999099
14,t+2,RUE Conformal,0.9117847411444142,0.029454217523410132,0.008373028976733737,0.0015378365271105962,1.5756637736107402
15,t+2,Infer-Noise Conformal,0.8736376021798365,0.028690090568647447,0.010996428051369803,0.005984940596485224,6.0246271151052415
16,t+2,MC Dropout Conformal,0.9717302452316077,0.06702374495880623,0.010383379123876765,0.00042974306736259435,0.5071501914452774
17,t+2,GPR Conformal,0.8395776566757494,0.029183040364777604,0.005817868664182218,0.012414938591867174,12.449939500896134
18,t+2,BNN Conformal,0.9482288828337875,0.04575433190959093,0.008642717288667398,7.679090348877474e-06,0.062076139547135804
19,t+2,DER Conformal,0.6907356948228883,0.0175834481016061,0.009403805785475056,0.0677375085493247,67.76449580321179
20,t+3,RUE Gaussian Copula,0.933605720122574,0.04027534950860873,0.012551460175907855,0.00030256097245422435,0.35538778213874095
21,t+3,RUE Conditional Gaussian,0.8924072182499149,0.032436344849485134,0.011090838311839477,0.003433114073213104,3.4766412563744287
22,t+3,RUE Weighted,0.8750425604358189,0.03183474695434609,0.01194271777524517,0.0057695326251462255,5.8133100898758165
23,t+3,RUE KNN,0.9935308137555329,0.11405433276922218,0.022007259500764594,0.0018088701187078278,1.9449317109778146
24,t+3,RUE Conformal,0.9220292815798434,0.03700064205099403,0.010729669058707439,0.0008393025257799967,0.8870328368896981
25,t+3,Infer-Noise Conformal,0.8576779026217228,0.033070015246734794,0.012668940959351916,0.008709013859080638,8.754752815286725
26,t+3,MC Dropout Conformal,0.9693564862104188,0.06924709496674228,0.012287462639778377,0.00033696058599329753,0.4184951435998182
27,t+3,GPR Conformal,0.7548518896833504,0.032626051676424725,0.0074952774384718,0.038474081180792534,38.51420250990743
28,t+3,BNN Conformal,0.9591419816138917,0.060293634749963965,0.01245458574049276,6.629186460095197e-05,0.1390400850914087
29,t+3,DER Conformal,0.410963568266939,0.0110963243748539,0.011270816366011759,0.291639347598977,291.66171473971787
