Time Horizon,Method,PICP,PINAW,PINAFD,CovP,CWFDC,CWC
t+1,RUE Gauss Copula,0.9549257535460992,0.08244782894482663,0.028979237918657034,0.00021510358429530777,0.32653065115879143,0.10406378004674884
t+1,RUE Cond Gauss,0.9742769281914893,0.10241446071936984,0.04212392735868258,0.0005852610290260266,0.729799417104079,0.13688105962142097
t+1,RUE Weighted,0.9289533466312058,0.07099900397048003,0.025522115464970404,0.0010838218813807386,1.1803430008161888,0.09806682478167605
t+1,RUE KNN,0.9413092863475176,0.08288544094912491,0.03252342083884152,0.000392918225084761,0.5083270868727273,0.10583961404405016
t+1,RUE CP,0.946268284574468,0.08231122492718193,0.02712096971307973,0.0002711963849209436,0.3806285795612052,0.11862520656378012
t+1,IN CP,0.9497451241134751,0.09470652680007978,0.03309972326333969,0.000212956642511223,0.34076289257464243,0.12860633575346295
t+1,MCD CP,0.9347573138297873,0.08843532105019675,0.028579521192980042,0.0005256925677507722,0.6427074099939489,0.1265906752366042
t+1,GPR CP,0.9570035460992908,0.09101878503874482,0.03667023596705726,0.0002220415325679988,0.34973055357380084,0.12456868314184279
t+1,BNN CP,0.9346464982269502,0.08602096114484703,0.028604449970820334,0.0005053393555424293,0.6199647666580966,0.09454420537050932
t+1,DER CP,0.9411707668439716,0.13083461347488437,0.019495303484975197,0.0005288043844517454,0.6791343014116049,0.15991035321912786
t+2,RUE Gauss Copula,0.9642481161347519,0.10572833937766013,0.0441431291507525,0.00026014029970020965,0.41001176822862223,0.15646021683043862
t+2,RUE Cond Gauss,0.9738752216312055,0.12627272572811704,0.053279375793757945,0.0005334175904738693,0.7129696919957443,0.16559329735730374
t+2,RUE Weighted,0.9516982491134751,0.10229630154501766,0.03964216997452937,0.00028325388141964253,0.4251923529391896,0.11771372129585232
t+2,RUE KNN,0.9549119015957447,0.1108573802957429,0.046718866820816385,0.0001910858588828143,0.3486621059993736,0.1464800449808129
t+2,RUE CP,0.9498836436170213,0.1021650174270309,0.03629227695770299,0.00030356921259619706,0.442026506980931,0.1375216835318445
t+2,IN CP,0.9658133865248226,0.13093181506329282,0.050313192082505974,0.00032939932387746236,0.5106443310232611,0.18711493029612258
t+2,MCD CP,0.9427498891843972,0.11057782609662307,0.0382317906621392,0.00027700270989830766,0.4258123266570699,0.1456354659984814
t+2,GPR CP,0.9636247783687942,0.12007877121946019,0.04928151528783533,0.00028632900518829347,0.45568929169558897,0.16747690706478302
t+2,BNN CP,0.9393561613475176,0.10508156512338333,0.03766323801733629,0.00033405759478859985,0.47680239792931944,0.11307253140478692
t+2,DER CP,0.9473487367021276,0.12066198754556673,0.03256759281256589,0.00020462667453870003,0.35785625489683265,0.16995534068386164
t+3,RUE Gauss Copula,0.9580562943262412,0.11893213357370973,0.047060879974970694,0.00019093259405179622,0.3569256076004767,0.1638091971665743
t+3,RUE Cond Gauss,0.970135195035461,0.13968226193886,0.056272899413351764,0.0003856480418352501,0.5816032031874618,0.19375027871820358
t+3,RUE Weighted,0.9434978945035462,0.10846189818068681,0.043955302895725155,0.00037737103178462597,0.5297882328610379,0.13588718461064106
t+3,RUE KNN,0.956255540780142,0.12737866582590715,0.05191777388493891,0.00019267596884077495,0.371972408551621,0.16510694915729504
t+3,RUE CP,0.9476811835106383,0.1143590839659613,0.041857144573281886,0.00025603185174935376,0.412248080288597,0.16180337601449982
t+3,IN CP,0.9672124335106383,0.15114153146917178,0.056842215432924593,0.0003644686768351786,0.5724524237372751,0.21397801404781588
t+3,MCD CP,0.9413369902482268,0.12656767135408725,0.043219219663566975,0.0003818917778801445,0.5516786688977987,0.16164381818437154
t+3,GPR CP,0.9637494459219859,0.1399383172215908,0.054938552641736305,0.00030815368318939186,0.5030305530527189,0.1941873057046318
t+3,BNN CP,0.9357823581560284,0.12173917256280736,0.040975227166017834,0.0004902292539044805,0.6529436536333056,0.1307612267038318
t+3,DER CP,0.9341893838652483,0.17484975201350164,0.03601054395210146,0.0004751090303958944,0.6859693263614974,0.18996330264294556
