Time Horizon,Method,PICP,PINAW,PINAFD,CovP,CWFDC
t+1,RUE Gaussian Copula,0.9565741356382979,0.08659659607712138,0.030065168865934463,0.00022334681179679255,0.34000857673984836
t+1,RUE Conditional Gaussian,0.9737089982269503,0.10359338815521296,0.04146520305640992,0.0005389187304599099,0.6839773216715326
t+1,RUE Weighted,0.9346049423758864,0.07348951712789269,0.027304263265391145,0.0007988984620356334,0.8996922424289172
t+1,RUE KNN,0.9486923758865248,0.08587813099456137,0.03533353393255308,0.0002744542181251879,0.3956658830523024
t+1,RUE Conformal,0.9480967420212766,0.090086487865774,0.027817631526068674,0.00033009244636937406,0.44799656576121677
t+1,Infer-Noise Conformal,0.9510887632978724,0.0945432433767945,0.033989065915406326,0.00026481533294488955,0.39334764223709034
t+1,MC Dropout Conformal,0.9352698359929077,0.08786569462261629,0.02897255227382813,0.0005763261342242186,0.693164381120663
t+1,GPR Conformal,0.9569342863475176,0.09081787767087568,0.03661720951310284,0.0002149973460989376,0.3424324332829161
t+1,BNN Conformal,0.9383449689716312,0.08782300572738334,0.029759003743930448,0.00036120897398603594,0.47879098345734966
t+1,DER Conformal,0.9467808067375886,0.12635121893884915,0.022147343850477685,0.0004771463262564599,0.6256448890457866
t+2,RUE Gaussian Copula,0.9618655806737589,0.10765461380486228,0.04459338048132777,0.0002195637188979518,0.3718117131841419
t+2,RUE Conditional Gaussian,0.9715619459219859,0.12550678331151208,0.05127829232564646,0.00044029141637371387,0.6170764920108723
t+2,RUE Weighted,0.9516289893617021,0.10422141688248326,0.03994856224353257,0.0003018367241139467,0.44600670323996255
t+2,RUE KNN,0.9546487145390071,0.11078969758240992,0.04680656973590635,0.00018810572781094445,0.34570199512926064
t+2,RUE Conformal,0.9526263297872339,0.10726812091352657,0.03722024455836062,0.0002653784092007603,0.4098667746726474
t+2,Infer-Noise Conformal,0.9661042774822693,0.13050810446926553,0.05172912158757494,0.00033229457491311686,0.5145318009699574
t+2,MC Dropout Conformal,0.9398132757092198,0.10832552030356431,0.03798202978823232,0.00034151831603607824,0.4878258661278749
t+2,GPR Conformal,0.9634169991134752,0.11990806794918203,0.04901427027098515,0.0002827485431137555,0.45167088133392275
t+2,BNN Conformal,0.94158632535461,0.11032296728370933,0.0376283771476863,0.00023868716526909305,0.3866385097004887
t+2,DER Conformal,0.9368074024822696,0.12975534561130178,0.03194194133831226,0.0003418941883405467,0.5035914752901608
t+3,RUE Gaussian Copula,0.9606050531914893,0.12638699080322546,0.04990481720834791,0.00021737128856147287,0.39366309657304627
t+3,RUE Conditional Gaussian,0.9693456338652483,0.14177873301906987,0.05567293321318387,0.0003505141999437687,0.5479658661760225
t+3,RUE Weighted,0.9392591976950353,0.11393745151846398,0.042892958907580346,0.0006073585186105357,0.7641889290365801
t+3,RUE KNN,0.9610898714539008,0.13497494946359082,0.05473875186780941,0.00017618011035288933,0.3658938116842896
t+3,RUE Conformal,0.9535128546099291,0.12449534575806898,0.044323496311134386,0.00019636583737692355,0.36518467944612687
t+3,Infer-Noise Conformal,0.9657579787234042,0.14859423056092988,0.05733000446854165,0.0003267784317175483,0.5327026667470198
t+3,MC Dropout Conformal,0.9401180186170214,0.12263151997982787,0.04357304408962174,0.0003274833062630842,0.49368787033253386
t+3,GPR Conformal,0.9636940381205674,0.14001352635731912,0.05493308305586251,0.00030713534379656727,0.5020819532097489
t+3,BNN Conformal,0.9375415558510639,0.1259496257532016,0.041313226899073824,0.00037442325570051824,0.5416861083527936
t+3,DER Conformal,0.9559230939716312,0.21008218718560182,0.0420082341567378,0.0001255722215640091,0.37766264290634877
