,std,correlation,loss,best_hyperparameter
0,1e-05,-0.03141329097692648,0.03336557,True
1,5e-05,-0.03146945109743183,0.03336572,False
2,0.0001,-0.031478775627871054,0.033365924,False
3,0.005,-0.03215443360840463,0.033426315,False
4,0.01,-0.03320452308537659,0.033571284,False
5,0.02,-0.034385322687202555,0.0341194,False
6,0.05,-0.031174040722637367,0.037626717,False
7,0.1,-0.027745943223265134,0.04758284,False
8,0.2,-0.024956731915943636,0.07363965,False
9,0.5,-0.016268263108953483,0.16328472,False
