,std,correlation,loss,best_hyperparameter
0,1e-05,0.013303380606050108,0.029777644,True
1,5e-05,0.01332816906431701,0.029777754,False
2,0.0001,0.013307745871522305,0.029777903,False
3,0.005,0.011156048402577895,0.029842254,False
4,0.01,0.008464496531849391,0.030022599,False
5,0.02,0.0037416349540832306,0.030668605,False
6,0.05,-0.005830966891587533,0.03460106,False
7,0.1,-0.01679006814860306,0.04505073,False
8,0.2,-0.020944918826630302,0.07165411,False
9,0.5,-0.011766208386043222,0.16222163,False
