Time Horizon,Method,PICP,PINAW,PINAFD,CovP,CWFDC
t+1,RUE Gaussian Copula,0.9587073359929077,0.08536247615431053,0.03093096999654384,0.00019128072561526302,0.3075741717661174
t+1,RUE Conditional Gaussian,0.9741245567375887,0.10348812243258217,0.042177762140490106,0.0005702630047709675,0.7159288893440398
t+1,RUE Weighted,0.9245899822695036,0.07284974241449164,0.025627400190708898,0.0017948017385081836,1.8932788811133838
t+1,RUE KNN,0.9452293882978723,0.08399184303357228,0.033835200943500864,0.0003005924063608151,0.4184194503378882
t+1,RUE Conformal,0.9453263519503546,0.0834936931533203,0.027507983258283946,0.0004466606610357014,0.5576623374473056
t+1,Infer-Noise Conformal,0.9522938829787234,0.09561563069033407,0.03436560057735241,0.00023910291719127317,0.3690841484589596
t+1,MC Dropout Conformal,0.9337322695035462,0.08625486023362922,0.028797813882493566,0.00057645151095306,0.6915041850691827
t+1,GPR Conformal,0.9571559175531915,0.09113423535464547,0.03676543564723573,0.00022431814297511668,0.35221781397699786
t+1,BNN Conformal,0.9367935505319149,0.08851155772064649,0.028645090158754938,0.0003806615331191283,0.49781818099852976
t+1,DER Conformal,0.9384696365248226,0.10061390467087827,0.021059479085124132,0.000800401942043439,0.9220753257994413
t+2,RUE Gaussian Copula,0.9654116799645389,0.10976822690620451,0.04459854127288968,0.000276376995933422,0.4307437641125162
t+2,RUE Conditional Gaussian,0.9727532136524822,0.12666010528823377,0.05275601412425787,0.00048742131436441566,0.6668374337769073
t+2,RUE Weighted,0.9494403812056738,0.09948115985010282,0.037881163661232474,0.000152037772647644,0.28940009615897927
t+2,RUE KNN,0.9581255540780141,0.11404954257211357,0.04774533168592663,0.0001258066455616004,0.28760151981964055
t+2,RUE Conformal,0.9516428413120567,0.10285654895594924,0.03739495618446912,0.00022094710875903022,0.3611986138994487
t+2,Infer-Noise Conformal,0.9656887189716312,0.1298896283397292,0.05117108564522218,0.0002985418664147389,0.47960258039969034
t+2,MC Dropout Conformal,0.9409352836879433,0.11166556240173268,0.03758133979213272,0.00030128297766240334,0.45052987985626874
t+2,GPR Conformal,0.9635555186170213,0.1200803731818159,0.049207932147502444,0.00028608645790598685,0.4553747632353052
t+2,BNN Conformal,0.9402565381205674,0.10845712895301535,0.03745565869431516,0.0002780382905484889,0.4239510781958194
t+2,DER Conformal,0.9476396276595745,0.13391622546567014,0.03447349740175309,0.00020169655416525168,0.37008627703267494
t+3,RUE Gaussian Copula,0.96075742464539,0.12348801173306785,0.04807460115068273,0.00023810718852858206,0.4096698014123326
t+3,RUE Conditional Gaussian,0.9703568262411347,0.14120245944195375,0.05523855601220585,0.0003965598788867998,0.5930008943409594
t+3,RUE Weighted,0.9368628102836879,0.10236788642436889,0.04000011596724835,0.00042964609121538686,0.5720140936070041
t+3,RUE KNN,0.9563386524822696,0.1293577255094121,0.05156004991023034,0.00017450082846452055,0.35541860388416296
t+3,RUE Conformal,0.950174534574468,0.11911853339454531,0.041909330521430116,0.0002299909218885567,0.39101878580453214
t+3,Infer-Noise Conformal,0.9642342641843973,0.14655726925034782,0.055599569854916375,0.00031847444536201453,0.5206312844672788
t+3,MC Dropout Conformal,0.93963320035461,0.1260182758023441,0.04227194098529404,0.00039063820695049473,0.5589284237381328
t+3,GPR Conformal,0.9639433732269503,0.14019179405875384,0.05497176774353867,0.0003092979242852407,0.5044614860875332
t+3,BNN Conformal,0.9349927969858157,0.11967484065771648,0.04088421344236184,0.0004745263643139564,0.6350854184140347
t+3,DER Conformal,0.9538868572695035,0.18917067587259015,0.04273914917288199,0.00012797145488802945,0.35988127993350155
